Date,Temperature(C),Humidity(%),CO(mg/m3),NO2(µg/m3),PM2.5(µg/m3),PM10(µg/m3),O3(µg/m3)
2025-01-04 17:00:00,24.57,44.85,1.013,29.23,97.04,74.32,56.66
2025-01-04 18:00:00,22.49,55.53,1.138,26.02,74.8,102.15,44.59
2025-01-04 19:00:00,26.84,68.56,1.052,39.92,112.0,85.67,67.39
2025-01-04 20:00:00,18.49,62.14,1.023,21.8,76.93,114.37,33.78
2025-01-04 21:00:00,20.36,47.54,1.455,53.31,53.47,110.01,59.24
2025-01-04 22:00:00,20.04,61.73,1.307,46.79,113.08,131.13,58.9
2025-01-04 23:00:00,14.68,63.85,0.992,30.31,88.47,84.7,45.36
2025-01-05 00:00:00,23.48,51.16,1.47,17.87,49.07,91.9,54.89
2025-01-05 01:00:00,23.31,61.54,1.292,48.54,70.24,70.64,31.23
2025-01-05 02:00:00,22.03,60.58,1.444,33.85,53.11,86.67,63.86
2025-01-05 03:00:00,20.83,48.57,1.389,47.38,40.43,111.32,47.23
